step,loss,bpb,lr
0,4.9505,7.1420,0.000300
50,2.9930,4.3180,0.000300
100,1.8091,2.6099,0.000300
150,1.4671,2.1166,0.000037
200,1.4263,2.0577,0.000004
250,1.4189,2.0471,0.000002
300,1.4097,2.0337,0.000002
350,1.4007,2.0208,0.000002
400,1.3990,2.0184,0.000002
450,1.3917,2.0078,0.000002
499,1.3852,1.9984,0.000002
