step,loss,bpb,lr
0,4.9499,7.1412,0.000300
50,2.9966,4.3231,0.000300
100,1.8105,2.6119,0.000300
150,1.0934,1.5774,0.000300
200,0.6609,0.9535,0.000300
250,0.5000,0.7213,0.000300
300,0.5000,0.7213,0.000300
350,0.5000,0.7213,0.000300
400,0.5000,0.7213,0.000300
450,0.5000,0.7213,0.000300
499,0.5000,0.7213,0.000300
