format,algo,min_bpb_neon,n_rows_git,distinct_seeds_git,distinct_sha_git,max_step_git,synthetic_flag_R7,reason
fp8_e5m2,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,rmsprop,6.6837,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,adamw,6.8495,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,lion,6.9192,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,lamb,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,rmsprop,6.8736,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,adamw,6.9637,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,sgdm,6.9985,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,lion,6.9725,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,rmsprop,6.6837,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp4_e2m1,adamw,6.9785,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp4_e2m1,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp4_e2m1,sgdm,6.9999,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp4_e2m1,lion,6.9922,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp4_e2m1,adafactor,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp4_e2m1,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp4_e2m1,schedulefree,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp4_e2m1,rmsprop,6.6771,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf4,adamw,6.9637,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf4,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf4,sgdm,6.9985,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf4,lion,6.9725,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf4,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf4,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf4,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf4,rmsprop,6.6837,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf8,adamw,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf8,muon,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf8,sgdm,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf8,lion,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf8,adafactor,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf8,lamb,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf8,schedulefree,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf8,rmsprop,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf12,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf12,muon,6.9261,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf12,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf12,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf12,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf12,lamb,6.9035,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf12,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf12,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf16,adamw,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
gf16,muon,6.9599,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
gf16,sgdm,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
gf16,lion,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
gf16,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf16,lamb,6.7620,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf16,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf16,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf20,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf20,muon,6.9223,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf20,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf20,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf20,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf20,lamb,6.7360,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf20,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf20,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf24,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf24,muon,6.9222,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf24,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
gf24,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
