format,algo,priority_rank,priority_reason
f32,sgdm,151,tier3_long_tail
f32,lion,152,tier3_long_tail
f32,adafactor,153,tier3_long_tail
f32,lamb,154,tier3_long_tail
f32,schedulefree,155,tier3_long_tail
f32,rmsprop,156,tier3_long_tail
f32,soap,157,tier3_long_tail
f64,sgdm,158,tier3_long_tail
f64,lion,159,tier3_long_tail
f64,adafactor,160,tier3_long_tail
f64,lamb,161,tier3_long_tail
f64,schedulefree,162,tier3_long_tail
f64,rmsprop,163,tier3_long_tail
f64,soap,164,tier3_long_tail
tf32,adafactor,165,tier3_long_tail
tf32,lamb,166,tier3_long_tail
tf32,schedulefree,167,tier3_long_tail
tf32,rmsprop,168,tier3_long_tail
tf32,soap,169,tier3_long_tail
fp8_e4m3,sgdm,170,tier3_long_tail
fp8_e4m3,lion,171,tier3_long_tail
fp8_e4m3,adafactor,172,tier3_long_tail
fp8_e4m3,lamb,173,tier3_long_tail
fp8_e4m3,schedulefree,174,tier3_long_tail
fp8_e4m3,rmsprop,175,tier3_long_tail
fp8_e4m3,soap,176,tier3_long_tail
fp8_e5m2,sgdm,177,tier3_long_tail
fp8_e5m2,lion,178,tier3_long_tail
fp8_e5m2,adafactor,179,tier3_long_tail
fp8_e5m2,lamb,180,tier3_long_tail
fp8_e5m2,schedulefree,181,tier3_long_tail
fp8_e5m2,rmsprop,182,tier3_long_tail
fp8_e5m2,soap,183,tier3_long_tail
fp6_e2m3,sgdm,184,tier3_long_tail
fp6_e2m3,lion,185,tier3_long_tail
fp6_e2m3,adafactor,186,tier3_long_tail
fp6_e2m3,lamb,187,tier3_long_tail
fp6_e2m3,schedulefree,188,tier3_long_tail
fp6_e2m3,rmsprop,189,tier3_long_tail
fp6_e2m3,soap,190,tier3_long_tail
fp6_e3m2,sgdm,191,tier3_long_tail
fp6_e3m2,lion,192,tier3_long_tail
fp6_e3m2,adafactor,193,tier3_long_tail
fp6_e3m2,lamb,194,tier3_long_tail
fp6_e3m2,schedulefree,195,tier3_long_tail
fp6_e3m2,rmsprop,196,tier3_long_tail
fp6_e3m2,soap,197,tier3_long_tail
fp4_e2m1,sgdm,198,tier3_long_tail
fp4_e2m1,lion,199,tier3_long_tail
fp4_e2m1,adafactor,200,tier3_long_tail
fp4_e2m1,lamb,201,tier3_long_tail
fp4_e2m1,schedulefree,202,tier3_long_tail
fp4_e2m1,rmsprop,203,tier3_long_tail
fp4_e2m1,soap,204,tier3_long_tail
int4,sgdm,205,tier3_long_tail
int4,lion,206,tier3_long_tail
int4,adafactor,207,tier3_long_tail
int4,lamb,208,tier3_long_tail
int4,schedulefree,209,tier3_long_tail
int4,rmsprop,210,tier3_long_tail
int4,soap,211,tier3_long_tail
int8,sgdm,212,tier3_long_tail
int8,lion,213,tier3_long_tail
int8,adafactor,214,tier3_long_tail
int8,lamb,215,tier3_long_tail
int8,schedulefree,216,tier3_long_tail
int8,rmsprop,217,tier3_long_tail
int8,soap,218,tier3_long_tail
int16,sgdm,219,tier3_long_tail
int16,lion,220,tier3_long_tail
int16,adafactor,221,tier3_long_tail
int16,lamb,222,tier3_long_tail
int16,schedulefree,223,tier3_long_tail
int16,rmsprop,224,tier3_long_tail
int16,soap,225,tier3_long_tail
int32,sgdm,226,tier3_long_tail
int32,lion,227,tier3_long_tail
int32,adafactor,228,tier3_long_tail
int32,lamb,229,tier3_long_tail
int32,schedulefree,230,tier3_long_tail
int32,rmsprop,231,tier3_long_tail
int32,soap,232,tier3_long_tail
uint8,sgdm,233,tier3_long_tail
uint8,lion,234,tier3_long_tail
uint8,adafactor,235,tier3_long_tail
uint8,lamb,236,tier3_long_tail
uint8,schedulefree,237,tier3_long_tail
uint8,rmsprop,238,tier3_long_tail
uint8,soap,239,tier3_long_tail
nf4,sgdm,240,tier3_long_tail
nf4,lion,241,tier3_long_tail
nf4,adafactor,242,tier3_long_tail
nf4,lamb,243,tier3_long_tail
nf4,schedulefree,244,tier3_long_tail
nf4,rmsprop,245,tier3_long_tail
nf4,soap,246,tier3_long_tail
nf8,sgdm,247,tier3_long_tail
nf8,lion,248,tier3_long_tail
nf8,adafactor,249,tier3_long_tail
nf8,lamb,250,tier3_long_tail
nf8,schedulefree,251,tier3_long_tail
nf8,rmsprop,252,tier3_long_tail
nf8,soap,253,tier3_long_tail
posit8,sgdm,254,tier3_long_tail
posit8,lion,255,tier3_long_tail
posit8,adafactor,256,tier3_long_tail
posit8,lamb,257,tier3_long_tail
posit8,schedulefree,258,tier3_long_tail
posit8,rmsprop,259,tier3_long_tail
posit8,soap,260,tier3_long_tail
posit16,sgdm,261,tier3_long_tail
posit16,lion,262,tier3_long_tail
posit16,adafactor,263,tier3_long_tail
posit16,lamb,264,tier3_long_tail
posit16,schedulefree,265,tier3_long_tail
posit16,rmsprop,266,tier3_long_tail
posit16,soap,267,tier3_long_tail
posit32,sgdm,268,tier3_long_tail
posit32,lion,269,tier3_long_tail
posit32,adafactor,270,tier3_long_tail
posit32,lamb,271,tier3_long_tail
posit32,schedulefree,272,tier3_long_tail
posit32,rmsprop,273,tier3_long_tail
posit32,soap,274,tier3_long_tail
posit64,sgdm,275,tier3_long_tail
posit64,lion,276,tier3_long_tail
posit64,adafactor,277,tier3_long_tail
posit64,lamb,278,tier3_long_tail
posit64,schedulefree,279,tier3_long_tail
posit64,rmsprop,280,tier3_long_tail
posit64,soap,281,tier3_long_tail
lns8,sgdm,282,tier3_long_tail
lns8,lion,283,tier3_long_tail
lns8,adafactor,284,tier3_long_tail
lns8,lamb,285,tier3_long_tail
lns8,schedulefree,286,tier3_long_tail
lns8,rmsprop,287,tier3_long_tail
lns8,soap,288,tier3_long_tail
mxfp4,sgdm,289,tier3_long_tail
mxfp4,lion,290,tier3_long_tail
mxfp4,adafactor,291,tier3_long_tail
mxfp4,lamb,292,tier3_long_tail
mxfp4,schedulefree,293,tier3_long_tail
mxfp4,rmsprop,294,tier3_long_tail
mxfp4,soap,295,tier3_long_tail
mxfp6,sgdm,296,tier3_long_tail
mxfp6,lion,297,tier3_long_tail
mxfp6,adafactor,298,tier3_long_tail
mxfp6,lamb,299,tier3_long_tail
mxfp6,schedulefree,300,tier3_long_tail
mxfp6,rmsprop,301,tier3_long_tail
mxfp6,soap,302,tier3_long_tail
mxfp8,sgdm,303,tier3_long_tail
mxfp8,lion,304,tier3_long_tail
mxfp8,adafactor,305,tier3_long_tail
mxfp8,lamb,306,tier3_long_tail
mxfp8,schedulefree,307,tier3_long_tail
mxfp8,rmsprop,308,tier3_long_tail
mxfp8,soap,309,tier3_long_tail
decimal32,sgdm,310,tier3_long_tail
decimal32,lion,311,tier3_long_tail
decimal32,adafactor,312,tier3_long_tail
decimal32,lamb,313,tier3_long_tail
decimal32,schedulefree,314,tier3_long_tail
decimal32,rmsprop,315,tier3_long_tail
decimal32,soap,316,tier3_long_tail
decimal64,sgdm,317,tier3_long_tail
decimal64,lion,318,tier3_long_tail
decimal64,adafactor,319,tier3_long_tail
decimal64,lamb,320,tier3_long_tail
decimal64,schedulefree,321,tier3_long_tail
decimal64,rmsprop,322,tier3_long_tail
decimal64,soap,323,tier3_long_tail
decimal128,sgdm,324,tier3_long_tail
decimal128,lion,325,tier3_long_tail
decimal128,adafactor,326,tier3_long_tail
decimal128,lamb,327,tier3_long_tail
decimal128,schedulefree,328,tier3_long_tail
decimal128,rmsprop,329,tier3_long_tail
decimal128,soap,330,tier3_long_tail
binary128,sgdm,331,tier3_long_tail
binary128,lion,332,tier3_long_tail
binary128,adafactor,333,tier3_long_tail
binary128,lamb,334,tier3_long_tail
binary128,schedulefree,335,tier3_long_tail
binary128,rmsprop,336,tier3_long_tail
binary128,soap,337,tier3_long_tail
binary256,sgdm,338,tier3_long_tail
binary256,lion,339,tier3_long_tail
binary256,adafactor,340,tier3_long_tail
binary256,lamb,341,tier3_long_tail
binary256,schedulefree,342,tier3_long_tail
binary256,rmsprop,343,tier3_long_tail
binary256,soap,344,tier3_long_tail
fp80,sgdm,345,tier3_long_tail
fp80,lion,346,tier3_long_tail
fp80,adafactor,347,tier3_long_tail
fp80,lamb,348,tier3_long_tail
fp80,schedulefree,349,tier3_long_tail
fp80,rmsprop,350,tier3_long_tail
fp80,soap,351,tier3_long_tail
